ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 570640, 465463, 519623, 480377, 457613, 497645, 502355, 539250, 609890,   1274,CityofWestlandPrecinct27
 570715, 202263, 777934, 222066, 198019, 759547, 240453, 521220, 591935,    707,CharterTownshipofCantonPrecinct32
 573425, 460352, 524229, 475771, 462555, 511747, 488253, 488985, 562410,   1362,CharterTownshipofPlymouthPrecinct5
 576370, 381028, 596463, 403537, 384244, 584405, 415595, 483920, 560290,   1244,CityofDearbornPrecinct45
 580785, 370736, 615798, 384202, 360861, 589766, 410234, 549375, 630160,   1114,CityofBellevillePrecinct2
 581050, 278054, 706982, 293018, 263092, 675810, 324190, 574810, 655860,    802,CityofWestlandPrecinct9
 581490, 601472, 389064, 610936, 604626, 375920, 624080, 484230, 565720,   1902,TownshipofGrosseIlePrecinct2
 587805, 534634, 449756, 550244, 537560, 435121, 564879, 485370, 573175,   1025,CityofLivoniaPrecinct23B
 589725, 233278, 758564, 241436, 221859, 729200, 270800, 557095, 646820,    613,CityofDearbornPrecinct22
 590630, 479758, 505135, 494865, 480362, 487613, 512387, 496980, 587610,   1655,CityofRiverviewPrecinct2
 591055, 501339, 484734, 515266, 499732, 464916, 535084, 508035, 599090,   1867,CityofLivoniaPrecinct33A
 592845, 408528, 568088, 431912, 407152, 548143, 451857, 506880, 599725,   1454,CityofLivoniaPrecinct24A
 596265, 432616, 543601, 456399, 430351, 522083, 477917, 511325, 607590,    883,CityofLivoniaPrecinct25A
 596620, 247342, 733333, 266667, 250241, 716908, 283092, 485505, 582125,   1035,CharterTownshipofRedfordPrecinct2
 599265, 556437, 428814, 571186, 563244, 415768, 584232, 465965, 565230,   1763,CityofTrentonPrecinct2
 600200, 510354, 473613, 526387, 508350, 451569, 548431, 510020, 610220,   1497,CharterTownshipofPlymouthPrecinct9
 606600, 231086, 757221, 242779, 236588, 741403, 258597, 472490, 579090,   1454,CharterTownshipofRedfordPrecinct11
 606640, 360146, 631322, 368678, 363802, 613650, 386350, 481720, 588360,   1641,CharterTownshipofCantonPrecinct5
 607645, 286329, 702906, 297094, 290635, 685683, 314317, 478470, 586115,    929,CharterTownshipofCantonPrecinct6
