ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 358126, 413223, 575068, 424932, 358126, 581267, 418733, 775485, 469005,   1452,CityofLincolnParkPrecinct10
 361073, 405369, 586577, 413423, 361073, 587919, 412081, 721480, 493290,    745,CityofDearbornHeightsPrecinct14
 369465, 404580, 582442, 417558, 369465, 584732, 415268, 675575, 488550,   1310,CityofLincolnParkPrecinct6
 378143, 415860, 568665, 431335, 378143, 577369, 422631, 688585, 456480,   1034,CityofWestlandPrecinct12
 378156, 413651, 573378, 426622, 378156, 572013, 427987, 677475, 506825,   1465,CityofLincolnParkPrecinct12
 382173, 412698, 577533, 422467, 382173, 568986, 431014, 652625, 542735,    819,CityofDearbornHeightsPrecinct7
 382791, 418788, 567164, 432836, 382791, 563652, 436348, 679985, 517560,   1139,CityofDearbornHeightsPrecinct21
 385700, 406396, 576669, 423331, 385700, 573847, 426153, 603480, 514110,   1063,CityofWestlandPrecinct13
 386656, 417740, 568612, 431388, 386656, 551933, 448067, 655420, 583395,   1319,CityofLincolnParkPrecinct8
 387119, 415428, 571832, 428168, 387119, 568294, 431706, 641545, 517690,   1413,CityofTaylorPrecinct3
 388888, 418981, 556712, 443288, 388888, 560185, 439815, 650465, 482635,    864,CityofWestlandPrecinct2
 391031, 418834, 567713, 432287, 391031, 550672, 449328, 639015, 585205,   1115,CityofWayneWard1Precinct1
 392324, 412224, 571428, 428572, 392324, 563610, 436390, 599500, 539090,   1407,CityofWestlandPrecinct5
 392379, 406417, 578877, 421123, 392379, 556818, 443182, 570190, 610295,   1496,CharterTownshipofVanBurenPrecinct5
 394825, 412823, 569178, 430822, 394825, 572553, 427447, 589990, 483125,    889,CityofDearbornPrecinct47
 396172, 430622, 555980, 444020, 396172, 547368, 452632, 672250, 543060,   1045,CityofDearbornHeightsPrecinct22
 398530, 407009, 582815, 417185, 398530, 564725, 435275, 542395, 590450,   1769,CharterTownshipofBrownstownPrecinct3
 399195, 417001, 565192, 434808, 399195, 562320, 437680, 589030, 514360,   1741,CityofWayneWard6Precinct6
 399446, 452029, 531365, 468635, 399446, 541512, 458488, 762915, 449265,   1084,CityofDearbornHeightsPrecinct27
